,url,img,perfume,brand,gender
0,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-2025-101016.html,https://fimgs.net/mdimg/perfume/m.101016.jpg,Dior Homme Parfum 2025 ,Dior,male
1,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-Bourbon-101124.html,https://fimgs.net/mdimg/perfume/m.101124.jpg,Asad Bourbon ,Lattafa Perfumes,male
2,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-Absolu-101529.html,https://fimgs.net/mdimg/perfume/m.101529.jpg,Le Male Elixir Absolu ,Jean Paul Gaultier,male
3,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Parfum-100895.html,https://fimgs.net/mdimg/perfume/m.100895.jpg,Emporio Armani Stronger With You Parfum ,Giorgio Armani,male
4,https://www.fragrantica.com/perfume/Azzaro/Forever-Wanted-Elixir-102882.html,https://fimgs.net/mdimg/perfume/m.102882.jpg,Forever Wanted Elixir ,Azzaro,male
5,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Elixir-101438.html,https://fimgs.net/mdimg/perfume/m.101438.jpg,Acqua di Giò Elixir ,Giorgio Armani,male
6,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-Pour-Homme-101353.html,https://fimgs.net/mdimg/perfume/m.101353.jpg,Devotion Pour Homme ,Dolce&Gabbana,male
7,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-Intense-102772.html,https://fimgs.net/mdimg/perfume/m.102772.jpg,Terre d’Hermès Intense ,Hermès,male
8,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Flower-Edition-101156.html,https://fimgs.net/mdimg/perfume/m.101156.jpg,Le Beau Flower Edition ,Jean Paul Gaultier,male
9,https://www.fragrantica.com/perfume/Givenchy/Gentleman-Society-Eau-de-Parfum-Ambree-101102.html,https://fimgs.net/mdimg/perfume/m.101102.jpg,Gentleman Society Eau de Parfum Ambrée ,Givenchy,male
10,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-Dukhan-104529.html,https://fimgs.net/mdimg/perfume/m.104529.jpg,Khamrah Dukhan ,Lattafa Perfumes,male
11,https://www.fragrantica.com/perfume/Valentino/Born-in-Roma-Extradose-Uomo-101383.html,https://fimgs.net/mdimg/perfume/m.101383.jpg,Born in Roma Extradose Uomo ,Valentino,male
12,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2025-101596.html,https://fimgs.net/mdimg/perfume/m.101596.jpg,Dior Homme Intense 2025 ,Dior,male
13,https://www.fragrantica.com/perfume/Kenzo/Kenzo-Homme-Indigo-101284.html,https://fimgs.net/mdimg/perfume/m.101284.jpg,Kenzo Homme Indigo ,Kenzo,male
14,https://www.fragrantica.com/perfume/Armaf/Club-De-Nuit-Lionheart-Man-102026.html,https://fimgs.net/mdimg/perfume/m.102026.jpg,Club De Nuit Lionheart Man ,Armaf,male
15,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-Bottled-Bold-Citrus-103605.html,https://fimgs.net/mdimg/perfume/m.103605.jpg,Boss Bottled Bold Citrus ,Hugo Boss,male
16,https://www.fragrantica.com/perfume/Parfums-de-Marly/Castley-104991.html,https://fimgs.net/mdimg/perfume/m.104991.jpg,Castley ,Parfums de Marly,male
17,https://www.fragrantica.com/perfume/Penhaligon-s/Fortuitous-Finley-103514.html,https://fimgs.net/mdimg/perfume/m.103514.jpg,Fortuitous Finley ,Penhaligon's,male
18,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Le-Parfum-2025-102208.html,https://fimgs.net/mdimg/perfume/m.102208.jpg,Y Le Parfum 2025 ,Yves Saint Laurent,male
19,https://www.fragrantica.com/perfume/Carolina-Herrera/Bad-Boy-Elixir-101597.html,https://fimgs.net/mdimg/perfume/m.101597.jpg,Bad Boy Elixir ,Carolina Herrera,male
20,https://www.fragrantica.com/perfume/O-Boticario/Clash-103715.html,https://fimgs.net/mdimg/perfume/m.103715.jpg,Clash ,O Boticário,male
21,https://www.fragrantica.com/perfume/Rabanne/Phantom-Elixir-101370.html,https://fimgs.net/mdimg/perfume/m.101370.jpg,Phantom Elixir ,Rabanne,male
22,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-Intense-102884.html,https://fimgs.net/mdimg/perfume/m.102884.jpg,Scandal Pour Homme Intense ,Jean Paul Gaultier,male
23,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Spirit-103574.html,https://fimgs.net/mdimg/perfume/m.103574.jpg,Habit Rouge Spirit ,Guerlain,male
24,https://www.fragrantica.com/perfume/Armaf/Club-De-Nuit-Intense-Man-Extrait-102813.html,https://fimgs.net/mdimg/perfume/m.102813.jpg,Club De Nuit Intense Man Extrait ,Armaf,male
25,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-Capri-In-Love-Pour-Homme-Eau-de-Parfum-104639.html,https://fimgs.net/mdimg/perfume/m.104639.jpg,Light Blue Capri In Love Pour Homme Eau de Parfum ,Dolce&Gabbana,male
26,https://www.fragrantica.com/perfume/Rabanne/Million-Gold-Elixir-102755.html,https://fimgs.net/mdimg/perfume/m.102755.jpg,Million Gold Elixir ,Rabanne,male
27,https://www.fragrantica.com/perfume/Carolina-Herrera/212-VIP-Black-Elixir-101559.html,https://fimgs.net/mdimg/perfume/m.101559.jpg,212 VIP Black Elixir ,Carolina Herrera,male
28,https://www.fragrantica.com/perfume/Burberry/Hero-Parfum-Intense-101015.html,https://fimgs.net/mdimg/perfume/m.101015.jpg,Hero Parfum Intense ,Burberry,male
29,https://www.fragrantica.com/perfume/Rabanne/Invictus-Victory-Absolu-103462.html,https://fimgs.net/mdimg/perfume/m.103462.jpg,Invictus Victory Absolu ,Rabanne,male
30,https://www.fragrantica.com/perfume/Coach/Coach-for-Men-Eau-de-Parfum-102668.html,https://fimgs.net/mdimg/perfume/m.102668.jpg,Coach for Men Eau de Parfum ,Coach,male
31,https://www.fragrantica.com/perfume/French-Avenue/Pinnace-Oryn-101170.html,https://fimgs.net/mdimg/perfume/m.101170.jpg,Pinnace Oryn ,French Avenue,male
32,https://www.fragrantica.com/perfume/Dolce-Gabbana/K-by-Dolce-Gabbana-Parfum-103329.html,https://fimgs.net/mdimg/perfume/m.103329.jpg,K by Dolce & Gabbana Parfum ,Dolce&Gabbana,male
33,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Elixir-106074.html,https://fimgs.net/mdimg/perfume/m.106074.jpg,Armani Code Elixir ,Giorgio Armani,male
34,https://www.fragrantica.com/perfume/Issey-Miyake/L-Eau-d-Issey-Pour-Homme-Eau-de-Parfum-103573.html,https://fimgs.net/mdimg/perfume/m.103573.jpg,L’Eau d’Issey Pour Homme Eau de Parfum ,Issey Miyake,male
35,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Metallic-Musk-104937.html,https://fimgs.net/mdimg/perfume/m.104937.jpg,Spicebomb Metallic Musk ,Viktor&Rolf,male
36,https://www.fragrantica.com/perfume/Mugler/A-Men-Stellar-104941.html,https://fimgs.net/mdimg/perfume/m.104941.jpg,A*Men Stellar ,Mugler,male
37,https://www.fragrantica.com/perfume/Davidoff/Cool-Elixir-104238.html,https://fimgs.net/mdimg/perfume/m.104238.jpg,Cool Elixir ,Davidoff,male
38,https://www.fragrantica.com/perfume/Montblanc/Explorer-Extreme-106403.html,https://fimgs.net/mdimg/perfume/m.106403.jpg,Explorer Extreme ,Montblanc,male
39,https://www.fragrantica.com/perfume/Mercedes-Benz/Mercedes-Benz-Club-Black-Eau-de-Parfum-104546.html,https://fimgs.net/mdimg/perfume/m.104546.jpg,Mercedes Benz Club Black Eau de Parfum ,Mercedes-Benz,male
40,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Amber-Essence-For-Men-100794.html,https://fimgs.net/mdimg/perfume/m.100794.jpg,Eternity Amber Essence For Men ,Calvin Klein,male
41,https://www.fragrantica.com/perfume/President-Trump/Victory-45-47-105305.html,https://fimgs.net/mdimg/perfume/m.105305.jpg,Victory 45-47 ,President Trump,male
42,https://www.fragrantica.com/perfume/Zara/Vanilla-Collection-01-Irresistible-Magnetic-Delicious-101852.html,https://fimgs.net/mdimg/perfume/m.101852.jpg,"Vanilla Collection 01: Irresistible, Magnetic, Delicious ",Zara,male
43,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-Eau-de-Toilette-106317.html,https://fimgs.net/mdimg/perfume/m.106317.jpg,Acqua di Giò Profondo Eau de Toilette ,Giorgio Armani,male
44,https://www.fragrantica.com/perfume/Dumont/Nitro-Red-Intensely-104555.html,https://fimgs.net/mdimg/perfume/m.104555.jpg,Nitro Red Intensely ,Dumont,male
45,https://www.fragrantica.com/perfume/Zara/Vanilla-Collection-02-Unique-Hypnotic-Seductive-101853.html,https://fimgs.net/mdimg/perfume/m.101853.jpg,"Vanilla Collection 02: Unique, Hypnotic, Seductive ",Zara,male
46,https://www.fragrantica.com/perfume/Fragrance-One/Most-Masculine-102422.html,https://fimgs.net/mdimg/perfume/m.102422.jpg,Most Masculine ,Fragrance One,male
47,https://www.fragrantica.com/perfume/Paris-Corner/Mysterium-105234.html,https://fimgs.net/mdimg/perfume/m.105234.jpg,Mysterium ,Paris Corner,male
48,https://www.fragrantica.com/perfume/Elie-Saab/L-Homme-103457.html,https://fimgs.net/mdimg/perfume/m.103457.jpg,L'Homme ,Elie Saab,male
49,https://www.fragrantica.com/perfume/Natura/Essencial-Atrai-105701.html,https://fimgs.net/mdimg/perfume/m.105701.jpg,Essencial Atrai ,Natura,male
50,https://www.fragrantica.com/perfume/Maison-Alhambra/Galactic-Men-Intense-105689.html,https://fimgs.net/mdimg/perfume/m.105689.jpg,Galactic Men Intense ,Maison Alhambra,male
51,https://www.fragrantica.com/perfume/Creed/Absolu-Aventus-2025-106624.html,https://fimgs.net/mdimg/perfume/m.106624.jpg,Absolu Aventus 2025 ,Creed,male
52,https://www.fragrantica.com/perfume/French-Avenue/An-Equestrian-Series-Pierce-101174.html,https://fimgs.net/mdimg/perfume/m.101174.jpg,An Equestrian Series Pierce ,French Avenue,male
53,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-Pour-Homme-Eau-de-Toilette-104984.html,https://fimgs.net/mdimg/perfume/m.104984.jpg,Light Blue Pour Homme Eau de Toilette ,Dolce&Gabbana,male
