,User ID,Perfume Name,Sentiment
159,8266.0,Dior Homme Intense,-1.0
160,34841.0,Dior Homme Intense,-1.0
161,21623.0,Dior Homme Intense,-1.0
162,26575.0,Dior Homme Intense,-1.0
163,4909.0,Dior Homme Intense,1.0
164,38688.0,Dior Homme Intense,-1.0
165,35444.0,Dior Homme Intense,1.0
167,22606.0,Dior Homme Intense,-1.0
168,37233.0,Dior Homme Intense,1.0
169,12148.0,Dior Homme Intense,1.0
170,36604.0,Dior Homme Intense,1.0
171,29603.0,Dior Homme Intense,-1.0
172,19399.0,Dior Homme Intense,1.0
173,34412.0,Dior Homme Intense,1.0
174,37355.0,Dior Homme Intense,-1.0
175,37610.0,Dior Homme Intense,1.0
176,34475.0,Dior Homme Intense,1.0
177,29617.0,Dior Homme Intense,1.0
178,29579.0,Dior Homme Intense,1.0
180,34400.0,Dior Homme Intense,-1.0
182,19615.0,Dior Homme Intense,1.0
185,32717.0,Dior Homme Intense,-1.0
186,23805.0,Dior Homme Intense,1.0
187,33005.0,Dior Homme Intense,1.0
188,25952.0,Dior Homme Intense,1.0
189,17746.0,Dior Homme Intense,1.0
192,12604.0,Dior Homme Intense,1.0
193,30659.0,Dior Homme Intense,1.0
194,28409.0,Dior Homme Intense,-1.0
195,29838.0,Dior Homme Intense,-1.0
196,29248.0,Dior Homme Intense,1.0
197,2617.0,Dior Homme Intense,1.0
198,27394.0,Dior Homme Intense,1.0
199,23994.0,Dior Homme Intense,1.0
200,26233.0,Dior Homme Intense,-1.0
201,26814.0,Dior Homme Intense,1.0
202,27133.0,Dior Homme Intense,1.0
204,20964.0,Dior Homme Intense,1.0
205,22808.0,Dior Homme Intense,1.0
207,11137.0,Dior Homme Intense,1.0
208,21834.0,Dior Homme Intense,1.0
209,24348.0,Dior Homme Intense,-1.0
210,22668.0,Dior Homme Intense,1.0
212,15454.0,Dior Homme Intense,-1.0
213,23968.0,Dior Homme Intense,-1.0
214,23286.0,Dior Homme Intense,-1.0
215,23567.0,Dior Homme Intense,-1.0
216,23292.0,Dior Homme Intense,-1.0
217,21471.0,Dior Homme Intense,-1.0
218,23238.0,Dior Homme Intense,1.0
219,21626.0,Dior Homme Intense,1.0
220,23200.0,Dior Homme Intense,1.0
222,17235.0,Dior Homme Intense,1.0
224,21735.0,Dior Homme Intense,1.0
226,20222.0,Dior Homme Intense,1.0
227,15966.0,Dior Homme Intense,1.0
228,18054.0,Dior Homme Intense,-1.0
229,22305.0,Dior Homme Intense,1.0
230,22451.0,Dior Homme Intense,-1.0
231,22002.0,Dior Homme Intense,1.0
232,22391.0,Dior Homme Intense,-1.0
233,21566.0,Dior Homme Intense,1.0
234,21434.0,Dior Homme Intense,1.0
235,21904.0,Dior Homme Intense,-1.0
237,18182.0,Dior Homme Intense,1.0
238,6186.0,Dior Homme Intense,-1.0
239,21864.0,Dior Homme Intense,1.0
240,17370.0,Dior Homme Intense,1.0
241,21998.0,Dior Homme Intense,1.0
242,21527.0,Dior Homme Intense,1.0
243,21267.0,Dior Homme Intense,-1.0
245,21286.0,Dior Homme Intense,1.0
247,21412.0,Dior Homme Intense,1.0
248,20517.0,Dior Homme Intense,1.0
249,19206.0,Dior Homme Intense,1.0
250,10747.0,Dior Homme Intense,1.0
251,21076.0,Dior Homme Intense,1.0
253,21441.0,Dior Homme Intense,-1.0
254,6795.0,Dior Homme Intense,-1.0
255,21191.0,Dior Homme Intense,-1.0
256,20818.0,Dior Homme Intense,1.0
258,20468.0,Dior Homme Intense,-1.0
259,1622.0,Dior Homme Intense,-1.0
260,20794.0,Dior Homme Intense,-1.0
262,15170.0,Dior Homme Intense,1.0
263,20999.0,Dior Homme Intense,-1.0
264,15702.0,Dior Homme Intense,-1.0
265,20595.0,Dior Homme Intense,1.0
266,12576.0,Dior Homme Intense,1.0
267,9737.0,Dior Homme Intense,1.0
268,13595.0,Dior Homme Intense,1.0
269,9881.0,Dior Homme Intense,-1.0
270,12463.0,Dior Homme Intense,-1.0
271,20529.0,Dior Homme Intense,1.0
273,4371.0,Dior Homme Intense,1.0
274,20179.0,Dior Homme Intense,1.0
275,19820.0,Dior Homme Intense,1.0
276,10896.0,Dior Homme Intense,1.0
277,20297.0,Dior Homme Intense,1.0
278,18763.0,Dior Homme Intense,1.0
280,6779.0,Dior Homme Intense,1.0
281,19198.0,Dior Homme Intense,1.0
284,9245.0,Dior Homme Intense,-1.0
285,12011.0,Dior Homme Intense,1.0
286,19457.0,Dior Homme Intense,-1.0
287,18041.0,Dior Homme Intense,1.0
288,18881.0,Dior Homme Intense,1.0
289,11788.0,Dior Homme Intense,1.0
290,14248.0,Dior Homme Intense,1.0
291,14122.0,Dior Homme Intense,1.0
292,18063.0,Dior Homme Intense,1.0
293,7425.0,Dior Homme Intense,1.0
295,11702.0,Dior Homme Intense,1.0
296,17959.0,Dior Homme Intense,1.0
297,9978.0,Dior Homme Intense,1.0
298,8521.0,Dior Homme Intense,1.0
299,11200.0,Dior Homme Intense,-1.0
300,12442.0,Dior Homme Intense,-1.0
301,13361.0,Dior Homme Intense,1.0
303,17516.0,Dior Homme Intense,1.0
304,17310.0,Dior Homme Intense,1.0
306,17266.0,Dior Homme Intense,-1.0
307,17129.0,Dior Homme Intense,1.0
308,11298.0,Dior Homme Intense,-1.0
312,8502.0,Dior Homme Intense,1.0
314,14396.0,Dior Homme Intense,1.0
316,14173.0,Dior Homme Intense,-1.0
319,11100.0,Dior Homme Intense,-1.0
320,6066.0,Dior Homme Intense,1.0
321,9685.0,Dior Homme Intense,1.0
322,15115.0,Dior Homme Intense,1.0
323,12457.0,Dior Homme Intense,1.0
325,14745.0,Dior Homme Intense,1.0
326,6539.0,Dior Homme Intense,1.0
328,13197.0,Dior Homme Intense,1.0
329,9727.0,Dior Homme Intense,1.0
330,14430.0,Dior Homme Intense,1.0
331,13923.0,Dior Homme Intense,1.0
332,14164.0,Dior Homme Intense,1.0
333,10097.0,Dior Homme Intense,1.0
334,11703.0,Dior Homme Intense,-1.0
335,13631.0,Dior Homme Intense,1.0
337,13754.0,Dior Homme Intense,1.0
339,8874.0,Dior Homme Intense,1.0
340,13146.0,Dior Homme Intense,1.0
341,11510.0,Dior Homme Intense,1.0
342,12180.0,Dior Homme Intense,1.0
346,2261.0,Dior Homme Intense,1.0
347,11273.0,Dior Homme Intense,1.0
348,6350.0,Dior Homme Intense,1.0
350,12067.0,Dior Homme Intense,1.0
351,10862.0,Dior Homme Intense,1.0
353,6354.0,Dior Homme Intense,1.0
354,9884.0,Dior Homme Intense,-1.0
356,12513.0,Dior Homme Intense,1.0
357,12435.0,Dior Homme Intense,1.0
358,12333.0,Dior Homme Intense,1.0
359,6288.0,Dior Homme Intense,1.0
361,5329.0,Dior Homme Intense,1.0
362,12360.0,Dior Homme Intense,1.0
363,12127.0,Dior Homme Intense,1.0
364,8459.0,Dior Homme Intense,1.0
366,11092.0,Dior Homme Intense,1.0
367,11594.0,Dior Homme Intense,-1.0
368,11782.0,Dior Homme Intense,1.0
369,12145.0,Dior Homme Intense,1.0
370,12342.0,Dior Homme Intense,1.0
372,3854.0,Dior Homme Intense,1.0
373,7465.0,Dior Homme Intense,1.0
375,11800.0,Dior Homme Intense,1.0
376,12163.0,Dior Homme Intense,1.0
377,9379.0,Dior Homme Intense,1.0
378,11976.0,Dior Homme Intense,1.0
379,7005.0,Dior Homme Intense,1.0
380,11944.0,Dior Homme Intense,1.0
381,9304.0,Dior Homme Intense,1.0
382,11656.0,Dior Homme Intense,1.0
383,11931.0,Dior Homme Intense,1.0
386,11863.0,Dior Homme Intense,1.0
387,10895.0,Dior Homme Intense,1.0
388,11771.0,Dior Homme Intense,1.0
391,8170.0,Dior Homme Intense,1.0
393,11302.0,Dior Homme Intense,1.0
394,9233.0,Dior Homme Intense,1.0
395,8741.0,Dior Homme Intense,1.0
396,2274.0,Dior Homme Intense,1.0
400,6958.0,Dior Homme Intense,-1.0
401,7158.0,Dior Homme Intense,-1.0
402,11084.0,Dior Homme Intense,-1.0
404,4732.0,Dior Homme Intense,-1.0
405,6953.0,Dior Homme Intense,-1.0
406,10942.0,Dior Homme Intense,1.0
407,10227.0,Dior Homme Intense,1.0
408,6165.0,Dior Homme Intense,1.0
409,10786.0,Dior Homme Intense,1.0
